,0,1
0,patch1-Chart-4_Developer_PatchNaturalness,1
1,patch1-Chart-4_TBar_PatchNaturalness,0
2,patch1-Chart-4_SOFix_PatchNaturalness,1
3,patch1-Chart-4_GenPat_PatchNaturalness,1
4,patch1-Chart-4_VFix_PatchNaturalness,1
5,patch1-Chart-26_Developer_PatchNaturalness,1
6,patch1-Chart-26_PraPR_PatchNaturalness,1
7,patch1-Chart-26_KaliA_PatchNaturalness,0
8,patch1-Chart-26_TBar_PatchNaturalness,1
9,patch1-Chart-26_FixMiner_PatchNaturalness,1
10,patch1-Chart-26_CoCoNut_PatchNaturalness,1
11,patch1-Chart-26_Jaid_PatchNaturalness,0
12,patch2-Chart-26_Jaid_PatchNaturalness,1
13,patch3-Chart-26_Jaid_PatchNaturalness,1
14,patch1-Chart-26_Jaid_PatchNaturalness,1
15,patch2-Chart-26_Jaid_PatchNaturalness,0
16,patch1-Chart-26_AVATAR_PatchNaturalness,1
17,patch1-Chart-26_GenPat_PatchNaturalness,1
18,patch1-Chart-26_PatchSim_PatchNaturalness,1
19,patch2-Chart-26_PatchSim_PatchNaturalness,1
20,patch3-Chart-26_PatchSim_PatchNaturalness,1
21,patch1-Chart-26_ConFix_PatchNaturalness,1
22,patch1-Chart-26_VFix_PatchNaturalness,1
23,patch1-Chart-26_jMutRepair_PatchNaturalness,1
24,patch1-Lang-7_Developer_PatchNaturalness,1
25,patch1-Lang-7_TBar_PatchNaturalness,1
26,patch1-Lang-7_DeepRepair_PatchNaturalness,1
27,patch1-Lang-7_ACS_PatchNaturalness,1
28,patch1-Lang-7_RSRepairA_PatchNaturalness,1
29,patch1-Lang-7_DLFix_PatchNaturalness,0
30,patch1-Lang-7_Arja_PatchNaturalness,0
31,patch6-Lang-7_Arja_PatchNaturalness,1
32,patch7-Lang-7_Arja_PatchNaturalness,1
33,patch5-Lang-7_Arja_PatchNaturalness,1
34,patch2-Lang-7_Arja_PatchNaturalness,0
35,patch4-Lang-7_Arja_PatchNaturalness,0
36,patch1-Lang-7_ConFix_PatchNaturalness,1
37,patch1-Lang-7_jKali_PatchNaturalness,1
38,patch1-Lang-7_GenProgA_PatchNaturalness,1
39,patch36-Lang-7_GenProg_PatchNaturalnessYe,1
40,patch31-Lang-7_GenProg_PatchNaturalnessYe,1
41,patch38-Lang-7_GenProg_PatchNaturalnessYe,0
42,patch54-Lang-7_GenProg_PatchNaturalnessYe,1
43,patch53-Lang-7_GenProg_PatchNaturalnessYe,1
44,patch39-Lang-7_GenProg_PatchNaturalnessYe,0
45,patch30-Lang-7_GenProg_PatchNaturalnessYe,1
46,patch52-Lang-7_GenProg_PatchNaturalnessYe,1
47,patch55-Lang-7_GenProg_PatchNaturalnessYe,1
48,patch48-Lang-7_GenProg_PatchNaturalnessYe,1
49,patch8-Lang-7_GenProg_PatchNaturalnessYe,1
50,patch46-Lang-7_GenProg_PatchNaturalnessYe,1
51,patch6-Lang-7_GenProg_PatchNaturalnessYe,1
52,patch41-Lang-7_GenProg_PatchNaturalnessYe,1
53,patch15-Lang-7_GenProg_PatchNaturalnessYe,1
54,patch12-Lang-7_GenProg_PatchNaturalnessYe,1
55,patch24-Lang-7_GenProg_PatchNaturalnessYe,1
56,patch23-Lang-7_GenProg_PatchNaturalnessYe,1
57,patch40-Lang-7_GenProg_PatchNaturalnessYe,1
58,patch7-Lang-7_GenProg_PatchNaturalnessYe,1
59,patch47-Lang-7_GenProg_PatchNaturalnessYe,1
60,patch9-Lang-7_GenProg_PatchNaturalnessYe,1
61,patch49-Lang-7_GenProg_PatchNaturalnessYe,0
62,patch22-Lang-7_GenProg_PatchNaturalnessYe,1
63,patch25-Lang-7_GenProg_PatchNaturalnessYe,1
64,patch13-Lang-7_GenProg_PatchNaturalnessYe,1
65,patch14-Lang-7_GenProg_PatchNaturalnessYe,1
66,patch50-Lang-7_GenProg_PatchNaturalnessYe,1
67,patch57-Lang-7_GenProg_PatchNaturalnessYe,1
68,patch32-Lang-7_GenProg_PatchNaturalnessYe,1
69,patch35-Lang-7_GenProg_PatchNaturalnessYe,1
70,patch56-Lang-7_GenProg_PatchNaturalnessYe,0
71,patch34-Lang-7_GenProg_PatchNaturalnessYe,1
72,patch33-Lang-7_GenProg_PatchNaturalnessYe,1
73,patch11-Lang-7_GenProg_PatchNaturalnessYe,0
74,patch29-Lang-7_GenProg_PatchNaturalnessYe,1
75,patch20-Lang-7_GenProg_PatchNaturalnessYe,1
76,patch18-Lang-7_GenProg_PatchNaturalnessYe,1
77,patch27-Lang-7_GenProg_PatchNaturalnessYe,1
78,patch42-Lang-7_GenProg_PatchNaturalnessYe,1
79,patch45-Lang-7_GenProg_PatchNaturalnessYe,1
80,patch19-Lang-7_GenProg_PatchNaturalnessYe,1
81,patch26-Lang-7_GenProg_PatchNaturalnessYe,1
82,patch21-Lang-7_GenProg_PatchNaturalnessYe,1
83,patch28-Lang-7_GenProg_PatchNaturalnessYe,1
84,patch17-Lang-7_GenProg_PatchNaturalnessYe,1
85,patch10-Lang-7_GenProg_PatchNaturalnessYe,1
86,patch44-Lang-7_GenProg_PatchNaturalnessYe,1
87,patch4-Lang-7_GenProg_PatchNaturalnessYe,0
88,patch43-Lang-7_GenProg_PatchNaturalnessYe,1
89,patch36-Lang-7_Arja_PatchNaturalnessYe,0
90,patch31-Lang-7_Arja_PatchNaturalnessYe,1
91,patch111-Lang-7_Arja_PatchNaturalnessYe,1
92,patch38-Lang-7_Arja_PatchNaturalnessYe,1
93,patch98-Lang-7_Arja_PatchNaturalnessYe,1
94,patch65-Lang-7_Arja_PatchNaturalnessYe,1
95,patch91-Lang-7_Arja_PatchNaturalnessYe,0
96,patch96-Lang-7_Arja_PatchNaturalnessYe,1
97,patch62-Lang-7_Arja_PatchNaturalnessYe,1
98,patch110-Lang-7_Arja_PatchNaturalnessYe,1
99,patch39-Lang-7_Arja_PatchNaturalnessYe,1
100,patch30-Lang-7_Arja_PatchNaturalnessYe,0
101,patch37-Lang-7_Arja_PatchNaturalnessYe,1
102,patch63-Lang-7_Arja_PatchNaturalnessYe,1
103,patch97-Lang-7_Arja_PatchNaturalnessYe,1
104,patch90-Lang-7_Arja_PatchNaturalnessYe,1
105,patch64-Lang-7_Arja_PatchNaturalnessYe,1
106,patch99-Lang-7_Arja_PatchNaturalnessYe,1
107,patch52-Lang-7_Arja_PatchNaturalnessYe,1
108,patch55-Lang-7_Arja_PatchNaturalnessYe,1
109,patch77-Lang-7_Arja_PatchNaturalnessYe,0
110,patch83-Lang-7_Arja_PatchNaturalnessYe,1
111,patch48-Lang-7_Arja_PatchNaturalnessYe,1
112,patch84-Lang-7_Arja_PatchNaturalnessYe,1
113,patch70-Lang-7_Arja_PatchNaturalnessYe,1
114,patch46-Lang-7_Arja_PatchNaturalnessYe,1
115,patch79-Lang-7_Arja_PatchNaturalnessYe,1
116,patch41-Lang-7_Arja_PatchNaturalnessYe,1
117,patch103-Lang-7_Arja_PatchNaturalnessYe,1
118,patch15-Lang-7_Arja_PatchNaturalnessYe,1
119,patch104-Lang-7_Arja_PatchNaturalnessYe,1
120,patch12-Lang-7_Arja_PatchNaturalnessYe,1
121,patch24-Lang-7_Arja_PatchNaturalnessYe,1
122,patch23-Lang-7_Arja_PatchNaturalnessYe,1
123,patch40-Lang-7_Arja_PatchNaturalnessYe,0
124,patch47-Lang-7_Arja_PatchNaturalnessYe,1
125,patch78-Lang-7_Arja_PatchNaturalnessYe,1
126,patch71-Lang-7_Arja_PatchNaturalnessYe,1
127,patch85-Lang-7_Arja_PatchNaturalnessYe,0
128,patch82-Lang-7_Arja_PatchNaturalnessYe,1
129,patch76-Lang-7_Arja_PatchNaturalnessYe,1
130,patch49-Lang-7_Arja_PatchNaturalnessYe,1
131,patch22-Lang-7_Arja_PatchNaturalnessYe,1
132,patch25-Lang-7_Arja_PatchNaturalnessYe,1
133,patch105-Lang-7_Arja_PatchNaturalnessYe,1
134,patch13-Lang-7_Arja_PatchNaturalnessYe,1
135,patch14-Lang-7_Arja_PatchNaturalnessYe,1
136,patch50-Lang-7_Arja_PatchNaturalnessYe,1
137,patch68-Lang-7_Arja_PatchNaturalnessYe,1
138,patch57-Lang-7_Arja_PatchNaturalnessYe,1
139,patch95-Lang-7_Arja_PatchNaturalnessYe,1
140,patch61-Lang-7_Arja_PatchNaturalnessYe,1
141,patch59-Lang-7_Arja_PatchNaturalnessYe,1
142,patch66-Lang-7_Arja_PatchNaturalnessYe,1
143,patch92-Lang-7_Arja_PatchNaturalnessYe,1
144,patch32-Lang-7_Arja_PatchNaturalnessYe,1
145,patch35-Lang-7_Arja_PatchNaturalnessYe,1
146,patch58-Lang-7_Arja_PatchNaturalnessYe,1
147,patch93-Lang-7_Arja_PatchNaturalnessYe,1
148,patch67-Lang-7_Arja_PatchNaturalnessYe,1
149,patch60-Lang-7_Arja_PatchNaturalnessYe,1
150,patch94-Lang-7_Arja_PatchNaturalnessYe,1
151,patch69-Lang-7_Arja_PatchNaturalnessYe,1
152,patch56-Lang-7_Arja_PatchNaturalnessYe,1
153,patch34-Lang-7_Arja_PatchNaturalnessYe,1
154,patch33-Lang-7_Arja_PatchNaturalnessYe,1
155,patch107-Lang-7_Arja_PatchNaturalnessYe,1
156,patch29-Lang-7_Arja_PatchNaturalnessYe,1
157,patch100-Lang-7_Arja_PatchNaturalnessYe,0
158,patch16-Lang-7_Arja_PatchNaturalnessYe,1
159,patch109-Lang-7_Arja_PatchNaturalnessYe,0
160,patch20-Lang-7_Arja_PatchNaturalnessYe,1
161,patch18-Lang-7_Arja_PatchNaturalnessYe,1
162,patch27-Lang-7_Arja_PatchNaturalnessYe,0
163,patch87-Lang-7_Arja_PatchNaturalnessYe,0
164,patch73-Lang-7_Arja_PatchNaturalnessYe,1
165,patch74-Lang-7_Arja_PatchNaturalnessYe,1
166,patch80-Lang-7_Arja_PatchNaturalnessYe,1
167,patch42-Lang-7_Arja_PatchNaturalnessYe,1
168,patch5-Lang-7_Arja_PatchNaturalnessYe,1
169,patch89-Lang-7_Arja_PatchNaturalnessYe,1
170,patch45-Lang-7_Arja_PatchNaturalnessYe,1
171,patch26-Lang-7_Arja_PatchNaturalnessYe,1
172,patch108-Lang-7_Arja_PatchNaturalnessYe,1
173,patch21-Lang-7_Arja_PatchNaturalnessYe,1
174,patch28-Lang-7_Arja_PatchNaturalnessYe,1
175,patch101-Lang-7_Arja_PatchNaturalnessYe,1
